Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
5/28/2016 15:06:17:402,VMC-3Axis, AVAILABLE, X-0.118942 Y-1.974421, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 18, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:17:609,VMC-3Axis, AVAILABLE, X-0.118942 Y-1.974421, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 18, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:17:824,VMC-3Axis, AVAILABLE, X-0.315142 Y-1.950708, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 19, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:18:027,VMC-3Axis, AVAILABLE, X-0.315142 Y-1.950708, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 19, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:18:230,VMC-3Axis, AVAILABLE, X-0.315142 Y-1.950708, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 19, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:18:433,VMC-3Axis, AVAILABLE, X-0.507799 Y-1.907568, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 20, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:18:675,VMC-3Axis, AVAILABLE, X-0.507799 Y-1.907568, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 20, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:18:941,VMC-3Axis, AVAILABLE, X-0.694996 Y-1.845471, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 21, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:19:148,VMC-3Axis, AVAILABLE, X-0.694996 Y-1.845471, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 21, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:19:378,VMC-3Axis, AVAILABLE, X-0.874875 Y-1.765076, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 22, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
