Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
4/1/2016 13:36:21:511,VMC-3Axis, AVAILABLE, X0.890922 Y-0.675412, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 448, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:21:753,VMC-3Axis, AVAILABLE, X0.817577 Y-0.759620, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 449, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:21:988,VMC-3Axis, AVAILABLE, X0.736336 Y-0.835946, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 450, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:22:238,VMC-3Axis, AVAILABLE, X0.648036 Y-0.903656, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 451, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:22:488,VMC-3Axis, AVAILABLE, X0.553586 Y-0.962103, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 452, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:22:738,VMC-3Axis, AVAILABLE, X0.553586 Y-0.962103, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 452, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:22:980,VMC-3Axis, AVAILABLE, X0.453951 Y-1.010739, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 453, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:23:222,VMC-3Axis, AVAILABLE, X0.350145 Y-1.049111, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 454, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:23:468,VMC-3Axis, AVAILABLE, X0.243218 Y-1.076876, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 455, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:23:707,VMC-3Axis, AVAILABLE, X0.134251 Y-1.093792, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 456, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:23:953,VMC-3Axis, AVAILABLE, X0.024339 Y-1.099731, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 457, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:24:199,VMC-3Axis, AVAILABLE, X0.024339 Y-1.099731, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 457, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:24:449,VMC-3Axis, AVAILABLE, X-0.085416 Y-1.094673, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 458, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:24:691,VMC-3Axis, AVAILABLE, X-0.193921 Y-1.078708, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 459, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
